symbol,long,short
AAVE,CoinEx,Gate
ALICE,FTX,Bybit
AR,Bybit,Binance
AR,Bitget,Binance
BICO,Okex,Bybit
BSV,FTX,Gate
COMP,Okex,Binance
CVC,Okex,Bybit
DASH,CoinEx,Gate
DGB,Binance,Gate
DUSK,Bybit,Binance
dYdX,CoinEx,Bybit
dYdX,FTX,Bybit
EGLD,CoinEx,Bitget
EGLD,CoinEx,Gate
EOS,FTX,dYdX
GMT,Okex,Binance
GRT,CoinEx,Bybit
HOT,Bybit,CoinEx
IOTA,CoinEx,Bybit
KAVA,CoinEx,Gate
LPT,Okex,Bybit
MINA,FTX,Gate
MKR,Okex,dYdX
MKR,Okex,Binance
QTUM,CoinEx,Gate
RSR,CoinEx,Bybit
RSR,Binance,Bybit
RUNE,Gate,Binance
SLP,Okex,Gate
SNX,CoinEx,Bitget
SNX,Binance,Gate
SOL,Okex,CoinEx
STX,Bybit,Gate
SXP,CoinEx,Binance
SXP,Gate,Bybit
XEM,Bybit,Binance
XRP,Bybit,Gate
YFI,dYdX,Gate
YFII,FTX,Okex
ZRX,Okex,dYdX